"question","option1","option2","option3","option4","answer","imageName","underline","explanation_ko","explanation_en","explanation_zh_hans","explanation_zh_hant","explanation_ja","explanation_fr","explanation_id","explanation_es","explanation_th","explanation_vi"
"__の言葉の読み方として最もよいものを、一つえらびなさい。ずっと好調だったのに、最後の試合で敗れてしまった。",たおれて,やぶれて,みだれて,つぶれて,やぶれて,,"敗れて","「敗れる」は『やぶれる』と読みます。たおれる(倒れる)=気を失う/倒れる、みだれる=乱れる、つぶれる=潰れる。","敗れる reads as やぶれる (to be defeated). たおれる=to collapse, みだれる=to be disordered, つぶれる=to be crushed.","「敗れる」读作「やぶれる」（失败/被打败）。たおれる=倒下，みだれる=紊乱，つぶれる=压坏。","「敗れる」讀作「やぶれる」（戰敗/被打敗）。たおれる=倒下，みだれる=混亂，つぶれる=壓壞。","「敗れる」は『やぶれる』。倒れる=たおれる、乱れる=みだれる、潰れる=つぶれるで意味が異なる。","«敗れる» se lit やぶれる (être vaincu). たおれる=tomber, みだれる=se dérégler, つぶれる=se broyer.","「敗れる」 dibaca やぶれる (kalah). たおれる=roboh, みだれる=berantakan, つぶれる=hancur.","«敗れる» se lee やぶれる (ser derrotado). たおれる=desplomarse, みだれる=desordenarse, つぶれる=aplastarse.","「敗れる」อ่านว่า やぶれる (แพ้/พ่ายแพ้) たおれる=ล้ม みだれる=ยุ่งเหยิง つぶれる=แตกพัง",""敗れる" đọc là やぶれる (thua/bị đánh bại). たおれる=ngã, みだれる=hỗn loạn, つぶれる=bẹp nát."
"__の言葉の読み方として最もよいものを、一つえらびなさい。この仕事には高い語学力が要求される。",ようきゅ,よっきゅう,ようきゅう,よっきゅ,ようきゅう,,"要求","「要求」は『ようきゅう』。『よっきゅう』は促音の誤り。","要求 reads ようきゅう (demand/requirement). よっきゅう is an incorrect gemination.","「要求」读作ようきゅう。よっきゅう是促音错误。","「要求」讀作ようきゅう。よっきゅう是促音誤用。","「要求」は『ようきゅう』が正しい。","«要求» se lit ようきゅう. よっきゅう est incorrect.",""要求" dibaca ようきゅう. よっきゅう salah.","«要求» se lee ようきゅう. よっきゅう es incorrecto.","「要求」อ่านว่า ようきゅう รูป よっきゅう ผิด",""要求" đọc là ようきゅう; よっきゅう sai."
"__の言葉を漢字で書くとき、最もよいものを一つ選びなさい。ハトは平和のしょうちょうだと言われている。",像徵,象敬,象徵,像微,象徵,,"しょうちょう","「しょうちょう(象徴)」の正字は『象徵』。像/敬/微は意味が違う。","しょうちょう meaning symbol is written 象徵 (traditional form). Others are wrong characters.","「しょうちょう（象征）」的正字为「象徵」。其余字形/含义不同。","「しょうちょう（象徵）」的正字為「象徵」。其他字/意不同。","「しょうちょう」は『象徵』が最も適切。","しょうちょう (symbole) s'écrit 象徵. Les autres choix sont faux.","しょうちょう (lambang) ditulis 象徵. Lainnya salah makna/kanji.","しょうちょう (símbolo) se escribe 象徵. Las otras opciones son incorrectas.","「しょうちょう」= 象徵 (สัญลักษณ์) ตัวอื่นความหมายผิด",""しょうちょう" = 象徵 (biểu tượng). Các lựa chọn khác sai."
"__の言葉を漢字で書くとき、最もよいものを一つ選びなさい。退院しても、しばらくの間、はげしい運動はしないでください。",険しい,激しい,暴しい,極しい,激しい,,"はげしい","「はげしい」は『激しい』が正しい。険しい=けわしい(険悪/険路)。","はげしい is written 激しい (intense). 険しい=steep/harsh (けわしい).","「はげしい」写作「激しい」。険しい=险峻/严厉(けわしい)。","「はげしい」寫作「激しい」。険しい=險峻/嚴厲(けわしい)。","「激しい」=強い勢い。『険しい』は地形/態度に用いる。","はげしい s'écrit 激しい. 険しい=abrupt/sévère.","はげしい ditulis 激しい. 険しい=terjal/keras.","はげしい se escribe 激しい. 険しい=empinado/severo.","「はげしい」= 激しい (รุนแรง) 険しい=ชัน/ดุ",""はげしい" viết là 激しい; 険しい= dốc/khắc nghiệt."
"（ ）に入れるのに最もよいものを、一つ選びなさい。彼は医学（ ）ではかなり知られた存在だ。",界,帯,域,区,界,,"","分野を表す『界』が適切（医学界）。帯/域/区は文脈不適。","Use 界 to denote a field (医学界). Others don't fit the domain meaning.","表示领域用「界」（医学界）。其余不合语境。","表示領域用「界」（医学界）。其餘不合。","分野=界（医学界）。","On emploie 界 pour un milieu/domaine (医学界).","Gunakan 界 untuk bidang (医学界).","Se usa 界 para el ámbito (医学界).","ใช้ 界 แสดงสาขา (医学界) ตัวอื่นไม่ตรง","Dùng 界 cho lĩnh vực (医学界)."
"（ ）に入れるのに最もよいものを、一つ選びなさい。さまざまなデータを（ ）した結果、事故の原因が明らかになった。",視察,検査,発明,分析,分析,,"","データを『分析』するが自然。視察=見て回る、検査=検診、発明=新発見。","Data are typically 分析 (analyzed). 視察=inspection visit, 検査=examination, 発明=invention.","数据通常用『分析』。視察=视察，検査=检查，発明=发明。","資料通常用『分析』。視察=視察，検査=檢查，発明=發明。","データは分析する、が定型。","Les données se «分析» (analyser). 視察/検査/発明 ne conviennent pas.","Data biasanya «分析» (menganalisis). Lainnya tidak sesuai.","Los datos se «分析» (analizan). Las otras no encajan.","ข้อมูล → «分析» (วิเคราะห์) ตัวอื่นไม่ตรง","Dữ liệu → «分析» (phân tích). Khác không phù hợp."
"（ ）に入れるのに最もよいものを、一つ選びなさい。街を（ ）していたら、山本さんに会った。",ぐらぐら,がらがら,ばらばら,ぶらぶら,ぶらぶら,,"","あてもなく歩く=『ぶらぶら』が自然。","Aimless strolling is ぶらぶら.","漫无目的地走=ぶらぶら。","漫無目的地走=ぶらぶら。","当てもなく歩く→ぶらぶら。","Se promener sans but = ぶらぶら.","Jalan-jalan tanpa tujuan = ぶらぶら.","Pasear sin rumbo = ぶらぶら.","เดินเรื่อยเปื่อย = ぶらぶら","Đi dạo không mục đích = ぶらぶら."
"__の言葉に意味が最も近いものを、一つえらびなさい。このブームは長くは続かないだろう。",効果,状態,流行,緊張,流行,,"","『ブーム』=一時的な『流行』のこと。","A boom refers to a temporary trend (流行).","「ブーム」=一时的「流行」。","「ブーム」=一時的「流行」。","ブーム=流行の同義。","Boom = phénomène de mode (流行).","Boom = tren sesaat (流行).","Boom = moda/tendencia (流行).","บูม = กระแสฮิตชั่วคราว (流行)","Boom = trào lưu tạm thời (流行)."
"__の言葉に意味が最も近いものを、一つえらびなさい。この作業は慎重にやってください。",急いで,絶対忘れずに,静かに,十分注意して,十分注意して,,"慎重に","『慎重に』=十分注意して。急いで/静かに ではない。","慎重に means with sufficient care (十分注意して). Not hurriedly or quietly.","「慎重に」=十分注意地。不是快/安静。","「慎重に」=十分注意地。不是快/安靜。","慎重=注意深いこと。","Prudemment = 十分注意して.","Dengan hati-hati = 十分注意して.","Con cuidado = 十分注意して.","อย่างระมัดระวัง = 十分注意して","Thận trọng = 十分注意して."
"次の言葉の使い方として最もよいものを、一つ選びなさい。方針","台風の方針がそれたので、特に被害は出なかった。","私の今年の方針は漢字を600字覚えることだ。","この料理を作る方針を教えてください。","教育に関する政府の方針が大きく変わった。","教育に関する政府の方針が大きく変わった。",,"","『方針』=基本的な方向性・政策。政府の方針/今年の方針(学習)は適切。台風や料理手順には不自然。","方針 means policy/overall direction. Government policy fits; typhoon path/recipe steps don't.","「方針」=方针/政策。政府方针合适；台风路径/做菜步骤不合适。","「方針」=方針/政策。政府方針が適切。台風の進路/料理手順には不自然。","『方針』は政策・方策の意。","«方針» = ligne directrice/politique. Contexte gouvernemental est適切.","«方針» = kebijakan/arah dasar. Cocok utk pemerintah, bukan topan/สูตร料理.","«方針» = política/dirección general. Adecuado para gobierno.","「方針」= นโยบาย/แนวทาง เหมาะกับรัฐบาล ไม่ใช่พายุ/สูตรอาหาร",""方針" = chính sách/định hướng. Phù hợp ngữ cảnh chính phủ."
