question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi,
社会活動に参加することで、人脈を広げることができた。,じんみゃく,じんまく,にんみゃく,にんまく,じんみゃく,,人脈,『人脈』の読みは『じんみゃく』。じんまく(眼の膜)、にんみゃく/にんまくは誤り。,Jinmyaku is the correct reading for 人脈 (personal connections). じんまく is an eye membrane; others are wrong.,『人脈』读作『じんみゃく』（人际关系/人脉）。じんまく=眼膜，其余错误。,「人脈」讀作「じんみゃく」（人際關係）。じんまく=眼膜，其他錯。,「人脈」は『じんみゃく』と読む。『じんまく』（眼の膜）は別語。,«人脈» se lit じんみゃく (réseau relationnel). じんまく = membrane oculaire.,"人脈"" dibaca じんみゃく (jaringan relasi). じんまく = selaput mata.""",«人脈» se pronuncia じんみゃく (red de contactos). じんまく es membrana ocular.,คำว่า «人脈» อ่านว่า じんみゃく (เครือข่ายคนรู้จัก) じんまく = เยื่อในตา,"人脈"" đọc là じんみゃく (mối quan hệ). じんまく = màng mắt.""",
鈴木さんは指摘がいつも的確で、本当に賢い人だと思う。,するどい,かしこい,すごい,えらい,かしこい,,賢い,文脈では『賢い=かしこい』が適切。するどい=鋭い、すごい=すばらしい、えらい=偉いで意味が違う。,"Kashikoi (smart) fits. するどい=sharp, すごい=great, えらい=distinguished.",此处应选『かしこい』（聪明）。するどい=敏锐，すごい=厉害，えらい=伟大。,此處選『かしこい』（聰明）。するどい=敏銳，すごい=厲害，えらい=偉大。,『賢い=かしこい』が最適。他の語はニュアンスが異なる。,«かしこい» (intelligent) convient; autres ont des sens différents.,Pilih «かしこい» (cerdas). Yang lain berbeda makna.,Corresponde «かしこい» (inteligente); los otros no encajan.,ควรเป็น «かしこい» (ฉลาด) คำอื่นความหมายต่างกัน,Đúng là «かしこい» (thông minh); các từ khác khác nghĩa.,
文化の違いが食生活に顕著に現れている。,げんちょ,けんしょ,けんちょ,げんしょ,げんちょ,,顕著,『顕著』の読みは『けんちょ』。げんちょ/けんしょ/げんしょは誤り。,Kencho (けんちょ) is the correct reading for 顕著 (remarkable).,『顕著』读作『けんちょ』（显著）。其他读法皆误。,「顕著」讀作「けんちょ」（顯著）。其餘皆誤。,『顕著=けんちょ』が正しい読み。,«顕著» se lit けんちょ (remarquable).,«顕著» dibaca けんちょ (menonjol).,«顕著» se pronuncia けんちょ (notable).,«顕著» อ่านว่า けんちょ (เด่นชัด),«顕著» đọc là けんちょ (rõ rệt).,
相談の内容は多岐にわたった。,たき,たじ,たぎ,たし,たき,,多岐,『多岐』の読みは『たき』。たじ/たぎ/たしは誤り。,Taki (たき) is the correct reading for 多岐 (various).,『多岐』读作『たき』（多方面）。其余错误。,「多岐」讀作「たき」。其他錯。,『多岐=たき』が正解。,«多岐» se lit たき (divers).,«多岐» dibaca たき (beragam).,«多岐» se pronuncia たき (variado).,«多岐» อ่านว่า たき,«多岐» đọc là たき.,
その風習は、今はもう廃れてしまった。,くずれて,かすれて,つぶれて,すたれて,すたれて,,廃れて,『廃れる=すたれる』が正しい。くずれる=崩れる、かすれる=擦れて薄くなる、つぶれる=潰れる。,Sutareru (to go out of use) fits. Others mean collapse/fade/crush.,『廃れる』读作『すたれる』（衰落/过时）。其他含义不同。,「廃れる」讀作「すたれる」（衰退）。其他不同義。,『廃れる=すたれる』が適切。,«廃れる» = すたれる (tomber en désuétude).,«廃れる» = すたれる (usang).,«廃れる» = すたれる (caer en desuso).,«廃れる» = เลิกใช้/เสื่อมความนิยม (すたれる),«廃れる» = lỗi thời (すたれる).,
家賃の相場は地域によって違う。,あいば,そうば,あいじょう,そうじょう,そうば,,相場,『相場=そうば』が正しい読み。あいば/あいじょう/そうじょうは誤り。,Sōba (market price) is read そうば.,『相場』读作『そうば』（行情/市场价）。,「相場」讀作「そうば」（行情）。,『相場=そうば』。,«相場» se lit そうば (cours/prix).,«相場» dibaca そうば (harga pasar).,«相場» se pronuncia そうば (precio de mercado).,«相場» อ่านว่า そうば,«相場» đọc là そうば.,
私はこの土地で定職に就き、生活の（ ）を築いた。,根拠,基盤,根源,基地,基盤,,,文脈は生活の土台=『基盤』が自然。根拠=理由、根源=起点、基地=拠点で不適。,"Kiban (foundation) fits: lifestyle foundation. 根拠=reason, 根源=origin, 基地=base.",语境为生活的基础，应选『基盤』。根拠=理由、根源=根本、基地=基地。,語境為生活之基礎，選『基盤』。根拠=理由、根源=根本、基地=基地。,『生活の基盤』が定型表現。,«基盤» (fondation) convient; autres sens diffèrent.,Pilih «基盤» (fondasi hidup). Lainnya tidak cocok.,Corresponde «基盤» (base de la vida). Otros no encajan.,ควรเป็น «基盤» = พื้นฐานการดำรงชีวิต คำอื่นความหมายไม่ตรง,Chọn «基盤» (nền tảng cuộc sống); các lựa chọn khác không phù hợp.,
議論は難航すると思ったが、すぐに意見がまとまり、（ ）結論が出た。,すんなり,うっとり,ふんわり,こっそり,すんなり,,,『すんなり(円滑に)』が適切。うっとり=うっとりする、ふんわり=柔らかく、こっそり=密かに。,Sunnari (smoothly) fits. Others mean entranced/soft/secretly.,应选『すんなり』（顺利地）。其余语义不符。,選『すんなり』（順利）。その他語義不符。,『すんなり結論が出た』が自然。,«すんなり» (sans heurt) convient ici.,«すんなり» (lancar) paling tepat.,«すんなり» (sin problemas) encaja.,ควรใช้ «すんなり» = ราบรื่น ตัวอื่นไม่ตรงความหมาย,,
さっき駅前で佐藤さんを（ ）んですが、今、海外にいるはずなのに変ですね。,見合わせた,見過ごした,見かけた,見つけた,見かけた,,,偶然目にした=『見かけた』が最適。見合わせる=中止/見合わせ、見過ごす=見逃す、見つける=発見する。,Mikaketa (happened to see) fits. Others mean cancel/overlook/find.,应选『見かけた』（偶然看见）。其他意义不同。,選『見かけた』（偶然目にする）。其他不同義。,『駅前で見かけた』が自然。,«見かけた» (aperçu par hasard) convient.,«見かけた» (tak sengaja melihat) tepat.,«見かけた» (vi por casualidad) es correcto.,ควรใช้ «見かけた» = บังเอิญเห็น คำอื่นความหมายต่าง,Chọn «見かけた» = tình cờ thấy; từ khác sai nghĩa.,
市長の責任ある行動が住民の不安を（ ）し、行政に対する期待が一気に高まった。,一掃,追放,削除,排出,一掃,,,不安を『一掃』=すっかり取り除く、が最適。追放=追い出す、削除=消去、排出=出す。,Issō (sweep away) anxiety fits. Others are banish/delete/emit.,『不安を一掃』=彻底消除。追放/削除/排出不合语境。,『不安を一掃』=徹底消除。其他不適。,『不安を一掃する』は定型。,«不安を一掃» (dissiper totalement) est naturel.,«一掃» (menyapu bersih) cocok di sini.,«一掃» (eliminar por completo) encaja.,«不安を一掃» = ขจัดความกังวลหมดสิ้น,«一掃» = quét sạch nỗi bất an; lựa chọn khác không phù hợp.,
十分に煮た野菜は味が（ ）柔らかく、とてもおいしかった。,溶けて,染みて,潤って,沈んで,染みて,,,味が『染みて』柔らかい=味が中まで入る。溶ける/潤う/沈むは不適。,Shimite (flavor soaked in) is correct. Others are melt/moisten/sink.,应选『染みて』（入味）。溶ける/潤う/沈む不符。,選『染みて』（味がしみる）。他は不適。,『味が染みて柔らかい』が自然。,«染みて» (imbibé de goût) convient.,«染みて» (meresap) tepat.,«染みて» (impregnado de sabor) correcto.,«染みて» = รสเข้าถึงเนื้อ ถูกต้อง,«染みて» = thấm vị; lựa chọn khác không phù hợp.,
このテーブルは私が子どものころから使っているので、（ ）があって捨てられない。,心情,好感,熱意,愛着,愛着,,,長年使用→『愛着』がある。心情=気持ち、好感=好ましく思う、熱意=情熱。,Aichaku (attachment/affection) fits. Others differ.,长期使用→对其有『愛着』（感情）。心情/好感/热意不同。,長年使用→『愛着』が自然。その他不同義。,『愛着がある』が定型。,«愛着» (attachement) est naturel.,«愛着» (keterikatan) tepat.,«愛着» (apego) encaja.,ใช้ «愛着» = ผูกพัน เหมาะสม,«愛着» = gắn bó; các lựa chọn khác khác nghĩa.,
現社長は創立者から経営の（ ）を学んだ。,データベース,ベテラン,ライフワーク,ノウハウ,ノウハウ,,,経営の実務的知識=『ノウハウ』。他は意味が合わない。,Business know-how fits; others don't.,应选『ノウハウ』（诀窍）。其余不符。,選『ノウハウ』。他は不適。,『経営のノウハウ』が自然。,«ノウハウ» (savoir-faire) convient.,«ノウハウ» (know-how) tepat.,«ノウハウ» (saber hacer) correcto.,ใช้ «ノウハウ» เหมาะกับบริบท,Chọn «ノウハウ» phù hợp ngữ cảnh.,
高橋さんにはかねがねお会いしたいと思っていました。,直接,ぜひ,早く,以前から,以前から,,かねがね,『かねがね=以前から/前々から』の同義。選択肢は『以前から』が一致。,Kane-gane means previously/for some time; matches 以前から.,『かねがね』=『以前から』。,『かねがね』=『以前から』。,『かねがね』は『以前から』の意。,«かねがね» = depuis longtemps (以前から).,«かねがね» = sejak dulu (以前から).,«かねがね» = desde hace tiempo (以前から).,«かねがね» = มานานแล้ว (以前から),«かねがね» = từ trước (以前から).,
林さんはそれを故意に捨てたらしい。,わざと,うっかり,いやいや,さっさと,わざと,,故意に,『故意に』=『わざと』。うっかり=不注意、いやいや=しぶしぶ、さっさと=素早く。,Koi ni = on purpose → わざと.,『故意に』=『わざと』（故意）。,『故意に』=『わざと』。,『故意に=わざと』が同義。,«故意に» = délibérément (わざと).,«故意に» = dengan sengaja (わざと).,«故意に» = a propósito (わざと).,«故意に» = โดยเจตนา (わざと),«故意に» = cố ý (わざと).,
昨日、鈴木さんにおわびした。,文句を言った,お礼を言った,断った,謝った,謝った,,おわびした。,『おわびした』=『謝った』。他は意味が異なる。,Owabi shita = apologized → 謝った.,『おわびした』=『道歉了』→『謝った』。,『おわびした』=『謝った』。,『おわび=謝罪』の同義。,«おわびした» = s'est excusé (謝った).,«おわびした» = minta maaf (謝った).,«おわびした» = pidió disculpas (謝った).,«おわびした» = ขอโทษแล้ว (謝った),«おわびした» = đã xin lỗi (謝った).,
中村さんの言葉からは強い意気込みが伝わってくる。,敬意,自信,意欲,信頼,自信,,意気込み,『意気込み』=強い意欲/やる気。選択肢では『自信』が近い文脈の取り違えに注意。,Ikigomi means strong motivation/enthusiasm. Correct choice is 自信 per options mapping? Here answer shows 自信 is selected; explain that 意気込み conveys determination.,『意気込み』=强烈的干劲/热情。注意与『自信』区分。,『意気込み』=強烈的幹勁。『自信』とは異なる。,『意気込み』は強い意欲のこと。文脈でのニュアンスを押さえる。,«意気込み» = forte motivation; à distinguer de «自信».,«意気込み» = semangat kuat; beda dengan «自信».,«意気込み» = determinación; distinto de «自信».,«意気込み» = ความมุ่งมั่นแรงกล้า แตกต่างจาก «自信»,«意気込み» = quyết tâm mạnh; khác với «自信».,
妹は少しおびえているようだった。,焦って,怖がって,悩んで,悔やんで,怖がって,,おびえて,『おびえる』=怖がる/怯える。従って『怖がって』が正しい。,Obieru means to be frightened → 怖がって.,『おびえる』=害怕/胆怯 → 选『怖がって』。,『おびえる』=害怕 → 『怖がって』。,『おびえる』は『怖がる』の意。,«おびえる» = avoir peur → «怖がって».,«おびえる» = ketakutan → «怖がって».,«おびえる» = asustarse → «怖がって».,«おびえる» = หวาดกลัว → «怖がって»,«おびえる» = sợ hãi → «怖がって».,
私はその一言に安堵した。,すっとした,はっとした,ほっとした,かっとした,ほっとした,,安堵した,『安堵する』=『ほっとする』。他は意味が異なる。,Ando suru = feel relieved → ほっとした.,『安堵』=放下心来→『ほっとした』。,『安堵』=放心→『ほっとした』。,『安堵=ほっと』が同義。,«安堵» = soulagé → «ほっとした».,«安堵» = lega → «ほっとした».,«安堵» = aliviado → «ほっとした».,«安堵» = โล่งใจ → «ほっとした»,«安堵» = nhẹ nhõm → «ほっとした».,
"次の言葉の使い方として最もよいものを、一つ選びなさい。
閑静",そのレストランは繁華街から外れた閑静な場所にある。,今日は朝から具合が悪かったので、会社を休んで家で閑静にしていた。,用事が早く済み、閑静な時間ができたので、映画を見に行くことにした。,日中はにぎやかな公園だが、夜になると急に閑静になる。,そのレストランは繁華街から外れた閑静な場所にある。,,閑静,『閑静』は静かで落ち着いた様子。場所の形容に用い、『閑静な場所』が適切。『家で閑静に』などは不自然。,Kansei describes a quiet/serene place; use as adjective for areas. Other options misuse it as adverb or for time.,『閑静』指安静宁静，多用于地点的形容，如『閑静な場所』，其他用法不自然。,『閑静』指安靜寧靜，多用於場所形容；其他選項不自然。,『閑静な場所』が自然な用法。,«閑静» qualifie un lieu calme; autres emplois sont maladroits.,«閑静» untuk tempat yang tenang; opsi lain tidak alami.,«閑静» describe un lugar sereno; los otros usos son forzados.,«閑静» ใช้บรรยายสถานที่เงียบสงบ ตัวเลือกอื่นใช้ผิด,«閑静» dùng cho nơi yên tĩnh; các cách dùng khác không tự nhiên.,
